Product ID,Product Name,Product Type,Sellable,Purchasable,Taxable,Type,Attribute,Value
28025296,Grooved Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_2,color_6,color_7,color_8"
28025312,Topsy Turvy Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_2,color_4,color_6"
28025325,Rick and Morty Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_3,color_4,color_18,color_7,color_8"
28025332,Camo Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_3,color_4,color_7"
28025398,Electric Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_19,color_1,color_3,color_7,color_8"
28025408,Handle Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_3,color_20,color_2,color_4,color_7,color_8"
28025440,Neon Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_3,color_11,color_12"
28025447,Spiked Pipe,Hand Pipe,TRUE,TRUE,7%,Storable Product,attribute_color,"color_3,color_4"
28025506,Side Door Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_20,color_4,color_8"
30251569,Iris Large Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_3,color_17,color_12"
30251572,Small Iris Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_3,color_17,color_12"
30251574,Prometheus Hand Pipe,Hand Pipe,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_2,color_4"
33270614,Industrial Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_3,color_8"
34856796,Marble Slab Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_2,color_7,color_8,color_9"
34856797,Funnel Grinder Large,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_7"
34856798,Funnel Grinder Small,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_6"
34856799,Genie Drum Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_17,color_4,color_21"
34856800,Lightning Strike Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_3,color_2,color_8"
34856801,Colored Trim Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_color,"color_3,color_2,color_8"
42264829,Pumpkin Hookah w/ Case,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_11,color_7,color_12"
28025488,Mya Bowl,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_11"
35964620,DUD Arma Hookah,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_6,color_7,color_9,color_12"
35964638,Zebra 2 Hose Luxor Hookah,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_4,color_11,color_6,color_7"
35964642,Zebra 1 Hose Wood Stem Hookah,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_4,color_11,color_6,color_7"
31553638,Premium Tongs,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_22,color_23"
31553639,Premium Basic Bowl,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_4,color_24,color_7"
31553640,Premium Silicone Bowl,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_4,color_6,color_25,color_7"
31553641,Premium Bowl w Wind Cover,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_7"
31553643,Premium Pumpkin Hose,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_4,color_7,color_9"
31553644,Premium Silicone Hose,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_4,color_7,color_8"
32029594,Premium Disposable Hose,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_13,color_4,color_11,color_6,color_7,color_12"
41014742,Portable LED Hookah,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_3,color_4,color_21,color_11,color_9"
40802641,Pharaohs Hookah,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_26,color_27,color_28,color_29,color_30,color_31,color_32,color_33,color_34,color_35,color_36,color_37,color_38"
28025187,Marble & Diamond Pipe,Hand Pipe,TRUE,TRUE,7%,Storable Product,attribute_color,"color_2,color_39,color_8"
28025204,Bracelet Pipe,Hand Pipe,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_40,color_41,color_42,color_43"
