Internal Reference,Name, Sales Price , Cost ,Product Category,Attribute,Value
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_24
,,,,,attribute_vendor_sku,vendor_sku_559
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A03-14,Choice Fabrics - Treasures From The Attic Dots - Green - 14-yard bolt, $ 45.92 , $ 27.30 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_24
,,,,,attribute_vendor_sku,vendor_sku_559
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A03-13,Choice Fabrics - Treasures From The Attic Dots - Green - 13-yard bolt, $ 42.64 , $ 25.35 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_24
,,,,,attribute_vendor_sku,vendor_sku_559
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A04-15,Choice Fabrics - Treasures From The Attic Dots - Yellow - 15-yard bolt, $ 49.20 , $ 29.25 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_17
,,,,,attribute_vendor_sku,vendor_sku_560
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A04-14,Choice Fabrics - Treasures From The Attic Dots - Yellow - 14-yard bolt, $ 45.92 , $ 27.30 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_17
,,,,,attribute_vendor_sku,vendor_sku_560
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A04-13.75,Choice Fabrics - Treasures From The Attic Dots - Yellow - 13.75-yard bolt, $ 45.10 , $ 26.81 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_17
,,,,,attribute_vendor_sku,vendor_sku_560
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A04-13.375,Choice Fabrics - Treasures From The Attic Dots - Yellow - 13.375-yard bolt, $ 43.87 , $ 26.08 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_17
,,,,,attribute_vendor_sku,vendor_sku_560
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A04-11.5,Choice Fabrics - Treasures From The Attic Dots - Yellow - 11.5-yard bolt, $ 37.72 , $ 22.43 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_17
,,,,,attribute_vendor_sku,vendor_sku_560
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-17,Choice Fabrics - Treasures From The Attic Dots - Red - 17-yard bolt, $ 55.76 , $ 33.15 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-16.875,Choice Fabrics - Treasures From The Attic Dots - Red - 16.875-yard bolt, $ 55.35 , $ 32.91 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-15,Choice Fabrics - Treasures From The Attic Dots - Red - 15-yard bolt, $ 49.20 , $ 29.25 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-14.875,Choice Fabrics - Treasures From The Attic Dots - Red - 14.875-yard bolt, $ 48.79 , $ 29.01 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-14.625,Choice Fabrics - Treasures From The Attic Dots - Red - 14.625-yard bolt, $ 47.97 , $ 28.52 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-14.5,Choice Fabrics - Treasures From The Attic Dots - Red - 14.5-yard bolt, $ 47.56 , $ 28.28 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-14.375,Choice Fabrics - Treasures From The Attic Dots - Red - 14.375-yard bolt, $ 47.15 , $ 28.03 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-14.25,Choice Fabrics - Treasures From The Attic Dots - Red - 14.25-yard bolt, $ 46.74 , $ 27.79 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-14,Choice Fabrics - Treasures From The Attic Dots - Red - 14-yard bolt, $ 45.92 , $ 27.30 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-13.75,Choice Fabrics - Treasures From The Attic Dots - Red - 13.75-yard bolt, $ 45.10 , $ 26.81 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-12.125,Choice Fabrics - Treasures From The Attic Dots - Red - 12.125-yard bolt, $ 39.77 , $ 23.64 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-11.75,Choice Fabrics - Treasures From The Attic Dots - Red - 11.75-yard bolt, $ 38.54 , $ 22.91 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-11.5,Choice Fabrics - Treasures From The Attic Dots - Red - 11.5-yard bolt, $ 37.72 , $ 22.43 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-11.375,Choice Fabrics - Treasures From The Attic Dots - Red - 11.375-yard bolt, $ 37.31 , $ 22.18 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-11,Choice Fabrics - Treasures From The Attic Dots - Red - 11-yard bolt, $ 36.08 , $ 21.45 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A05-9.5,Choice Fabrics - Treasures From The Attic Dots - Red - 9.5-yard bolt, $ 31.16 , $ 18.53 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_7
,,,,,attribute_vendor_sku,vendor_sku_561
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-16,Choice Fabrics - Treasures From The Attic Dots - Navy - 16-yard bolt, $ 52.48 , $ 31.20 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-15.25,Choice Fabrics - Treasures From The Attic Dots - Navy - 15.25-yard bolt, $ 50.02 , $ 29.74 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-15,Choice Fabrics - Treasures From The Attic Dots - Navy - 15-yard bolt, $ 49.20 , $ 29.25 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-14.125,Choice Fabrics - Treasures From The Attic Dots - Navy - 14.125-yard bolt, $ 46.33 , $ 27.54 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-14,Choice Fabrics - Treasures From The Attic Dots - Navy - 14-yard bolt, $ 45.92 , $ 27.30 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-13.875,Choice Fabrics - Treasures From The Attic Dots - Navy - 13.875-yard bolt, $ 45.51 , $ 27.06 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-13.75,Choice Fabrics - Treasures From The Attic Dots - Navy - 13.75-yard bolt, $ 45.10 , $ 26.81 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-13.625,Choice Fabrics - Treasures From The Attic Dots - Navy - 13.625-yard bolt, $ 44.69 , $ 26.57 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-13.25,Choice Fabrics - Treasures From The Attic Dots - Navy - 13.25-yard bolt, $ 43.46 , $ 25.84 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-13,Choice Fabrics - Treasures From The Attic Dots - Navy - 13-yard bolt, $ 42.64 , $ 25.35 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-12.875,Choice Fabrics - Treasures From The Attic Dots - Navy - 12.875-yard bolt, $ 42.23 , $ 25.11 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-12.625,Choice Fabrics - Treasures From The Attic Dots - Navy - 12.625-yard bolt, $ 41.41 , $ 24.62 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-12.375,Choice Fabrics - Treasures From The Attic Dots - Navy - 12.375-yard bolt, $ 40.59 , $ 24.13 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-12,Choice Fabrics - Treasures From The Attic Dots - Navy - 12-yard bolt, $ 39.36 , $ 23.40 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A06-11.125,Choice Fabrics - Treasures From The Attic Dots - Navy - 11.125-yard bolt, $ 36.49 , $ 21.69 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_22
,,,,,attribute_vendor_sku,vendor_sku_562
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-16.375,Choice Fabrics - Treasures From The Attic Dots - Blue - 16.375-yard bolt, $ 53.71 , $ 31.93 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-16.25,Choice Fabrics - Treasures From The Attic Dots - Blue - 16.25-yard bolt, $ 53.30 , $ 31.69 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-16,Choice Fabrics - Treasures From The Attic Dots - Blue - 16-yard bolt, $ 52.48 , $ 31.20 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-15.5,Choice Fabrics - Treasures From The Attic Dots - Blue - 15.5-yard bolt, $ 50.84 , $ 30.23 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-15,Choice Fabrics - Treasures From The Attic Dots - Blue - 15-yard bolt, $ 49.20 , $ 29.25 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-14.625,Choice Fabrics - Treasures From The Attic Dots - Blue - 14.625-yard bolt, $ 47.97 , $ 28.52 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-14.5,Choice Fabrics - Treasures From The Attic Dots - Blue - 14.5-yard bolt, $ 47.56 , $ 28.28 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-14.375,Choice Fabrics - Treasures From The Attic Dots - Blue - 14.375-yard bolt, $ 47.15 , $ 28.03 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-14.25,Choice Fabrics - Treasures From The Attic Dots - Blue - 14.25-yard bolt, $ 46.74 , $ 27.79 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-13.75,Choice Fabrics - Treasures From The Attic Dots - Blue - 13.75-yard bolt, $ 45.10 , $ 26.81 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-13.5,Choice Fabrics - Treasures From The Attic Dots - Blue - 13.5-yard bolt, $ 44.28 , $ 26.33 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-13.25,Choice Fabrics - Treasures From The Attic Dots - Blue - 13.25-yard bolt, $ 43.46 , $ 25.84 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-13,Choice Fabrics - Treasures From The Attic Dots - Blue - 13-yard bolt, $ 42.64 , $ 25.35 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-12.625,Choice Fabrics - Treasures From The Attic Dots - Blue - 12.625-yard bolt, $ 41.41 , $ 24.62 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-12.25,Choice Fabrics - Treasures From The Attic Dots - Blue - 12.25-yard bolt, $ 40.18 , $ 23.89 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-12.125,Choice Fabrics - Treasures From The Attic Dots - Blue - 12.125-yard bolt, $ 39.77 , $ 23.64 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-12,Choice Fabrics - Treasures From The Attic Dots - Blue - 12-yard bolt, $ 39.36 , $ 23.40 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-11.875,Choice Fabrics - Treasures From The Attic Dots - Blue - 11.875-yard bolt, $ 38.95 , $ 23.16 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-11.75,Choice Fabrics - Treasures From The Attic Dots - Blue - 11.75-yard bolt, $ 38.54 , $ 22.91 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-11.625,Choice Fabrics - Treasures From The Attic Dots - Blue - 11.625-yard bolt, $ 38.13 , $ 22.67 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-49778-A07-9.625,Choice Fabrics - Treasures From The Attic Dots - Blue - 9.625-yard bolt, $ 31.57 , $ 18.77 ,Units,attribute_manufacturer,manufacturer_3
,,,,,attribute_collection,collection_23
,,,,,attribute_color,color_18
,,,,,attribute_vendor_sku,vendor_sku_563
