Internal Reference,Name, Sales Price , Cost ,Product Category,Attribute,Value
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_1
,,,,,attribute_vendor_sku,vendor_sku_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-18606-B01-10.625,Tone on Tone - White - 10.625-yard bolt, $ 34.85 , $ 19.66 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_1
,,,,,attribute_vendor_sku,vendor_sku_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-18606-B02-15,Tone on Tone - Tone - 15-yard bolt, $ 49.20 , $ 27.75 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_2
,,,,,attribute_vendor_sku,vendor_sku_4
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-18606-B02-14.75,Tone on Tone - Tone - 14.75-yard bolt, $ 48.38 , $ 27.29 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_2
,,,,,attribute_vendor_sku,vendor_sku_4
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-18606-B02-14,Tone on Tone - Tone - 14-yard bolt, $ 45.92 , $ 25.90 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_2
,,,,,attribute_vendor_sku,vendor_sku_4
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-18606-B02-10.5,Tone on Tone - Tone - 10.5-yard bolt, $ 34.44 , $ 19.43 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_2
,,,,,attribute_vendor_sku,vendor_sku_4
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-18606-B02-10.375,Tone on Tone - Tone - 10.375-yard bolt, $ 34.03 , $ 19.19 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_2
,,,,,attribute_vendor_sku,vendor_sku_4
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-18606-B02-10.25,Tone on Tone - Tone - 10.25-yard bolt, $ 33.62 , $ 18.96 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_2
,,,,,attribute_vendor_sku,vendor_sku_4
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-18606-B02-10,Tone on Tone - Tone - 10-yard bolt, $ 32.80 , $ 18.50 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_2
,,,,,attribute_vendor_sku,vendor_sku_4
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-18606-B02-9.125,Tone on Tone - Tone - 9.125-yard bolt, $ 29.93 , $ 16.88 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_2
,,,,,attribute_vendor_sku,vendor_sku_4
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-19000-001-15,Simply Solid - White - 15-yard bolt, $ 49.20 , $ 18.75 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_1
,,,,,attribute_vendor_sku,vendor_sku_5
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-20,Simply Solid - Black - 20-yard bolt, $ 65.60 , $ 32.60 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-19.375,Simply Solid - Black - 19.375-yard bolt, $ 63.55 , $ 31.58 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-19.25,Simply Solid - Black - 19.25-yard bolt, $ 63.14 , $ 31.38 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-18.5,Simply Solid - Black - 18.5-yard bolt, $ 60.68 , $ 30.16 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-17.5,Simply Solid - Black - 17.5-yard bolt, $ 57.40 , $ 28.53 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-17,Simply Solid - Black - 17-yard bolt, $ 55.76 , $ 27.71 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-16,Simply Solid - Black - 16-yard bolt, $ 52.48 , $ 26.08 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-15,Simply Solid - Black - 15-yard bolt, $ 49.20 , $ 24.45 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-14.75,Simply Solid - Black - 14.75-yard bolt, $ 48.38 , $ 24.04 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-13.625,Simply Solid - Black - 13.625-yard bolt, $ 44.69 , $ 22.21 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-13.5,Simply Solid - Black - 13.5-yard bolt, $ 44.28 , $ 22.01 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-12.875,Simply Solid - Black - 12.875-yard bolt, $ 42.23 , $ 20.99 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-12.375,Simply Solid - Black - 12.375-yard bolt, $ 40.59 , $ 20.17 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-12,Simply Solid - Black - 12-yard bolt, $ 39.36 , $ 19.56 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-11,Simply Solid - Black - 11-yard bolt, $ 36.08 , $ 17.93 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19000-002-10,Simply Solid - Black - 10-yard bolt, $ 32.80 , $ 16.30 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_2
,,,,,attribute_color,color_3
,,,,,attribute_vendor_sku,vendor_sku_6
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_2
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-18.5,Simply Solid 38 - Black - 18.5-yard bolt, $ 51.43 , $ 30.16 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-18,Simply Solid 38 - Black - 18-yard bolt, $ 50.04 , $ 29.34 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-17.625,Simply Solid 38 - Black - 17.625-yard bolt, $ 49.00 , $ 28.73 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-17.5,Simply Solid 38 - Black - 17.5-yard bolt, $ 48.65 , $ 28.53 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-17,Simply Solid 38 - Black - 17-yard bolt, $ 47.26 , $ 27.71 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-16.5,Simply Solid 38 - Black - 16.5-yard bolt, $ 45.87 , $ 26.90 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-16.25,Simply Solid 38 - Black - 16.25-yard bolt, $ 45.18 , $ 26.49 ,Units,attribute_manufacturer,manufacturer_1
